Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight
2017,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,22,5984000
2017,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,24,7704000
2017,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,24,7704000
2017,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,21,178500
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,25,6798000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,25,6798000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,18,5760000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,18,5760000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,4,1304000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,4,1304000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,23,195500
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C402,-,1,6850
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,23,6254000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,23,6254000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,20,6406000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,20,6406000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,1,326000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,1,326000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,20,170000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,2,1304000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,2,1304000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,22,5984000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,22,5984000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7040000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7040000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,20,170000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,8,5216000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,8,5216000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,20,5440000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,20,5440000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7024000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7024000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,20,170000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,7,4564000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,7,4564000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,22,5984000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,22,5984000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,23,7344000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,23,7344000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,1,326000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,1,326000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,22,187000
2018,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,-,9,3602352
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,9,5868000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,9,5868000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,20,5440000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,20,5440000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7106000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7106000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,21,178500
2018,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,-,12,4742143
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,4,2608000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,4,2608000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,20,5440000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,20,5440000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,24,7812000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,24,7812000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,21,178500
2018,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,-,14,5577694
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,5,3274000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,5,3274000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,24,6526000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,24,6526000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,23,7378000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,23,7378000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,23,195500
2018,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,-,13,5222749
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,5,3260000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,5,3260000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,21,5712000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,21,5712000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,19,6080000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,19,6080000
2018,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,-,5,42500
2018,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,-,12,4748757
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,5,3260000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,5,3260000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,27,7344000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,27,7344000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,21,6720000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,21,6720000
2018,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,-,8,3185679
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,4,2608000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,-,4,2608000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,26,7072000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,26,7072000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,6912000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,6912000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,1,320000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Passenger,Wide Body,Boeing,B763,-,1,320000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,27,7344000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,-,27,7344000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7024000
2018,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,-,22,7024000
